rank,lambda_rel,g_max,token_isolation_lift,needle_token_isolated_rate,random_token_isolated_rate,span_all_tokens_isolation_lift,span_all_tokens_isolated_rate,random_span_all_tokens_isolated_rate,span_any_token_isolation_lift,span_any_token_isolated_rate,random_span_any_token_isolated_rate,cluster_size_mean,cluster_size_quantiles.p50,cluster_size_quantiles.p90,cluster_size_quantiles.p99,cluster_size_max,cluster_count_mean,segment_count_mean,sample_groups,sample_groups_with_needle,span_count,needle_token_count,random_token_count,layer_group_count
1,1.0,2048,8.324445853630415,0.12033333333333333,0.014455416666666667,199.99999999999997,0.0013020833333333333,6.510416666666667e-06,3.865498499229334,0.6204427083333334,0.1605078125,1199.793,104.0,3666.0,14885.0,18266.0,307.4928385416667,518.7994791666666,1536,1536,1536,48000,4800000,1536
2,1.125,2048,8.318678627874363,0.07785416666666667,0.009358958333333334,0.0,0.0,6.510416666666667e-06,4.94028230184582,0.533203125,0.1079296875,1528.4685,189.0,4504.0,17581.0,22995.0,203.43684895833334,332.7356770833333,1536,1536,1536,48000,4800000,1536
3,1.0,4096,8.30788290883946,0.12014583333333333,0.014461666666666666,199.99999999999997,0.0013020833333333333,6.510416666666667e-06,3.9224435160021094,0.6295572916666666,0.16050130208333332,1209.5121458333333,100.0,3635.3999999999796,14885.0,18266.0,309.3483072916667,418.2727864583333,1536,1536,1536,48000,4800000,1536
4,1.0,inf,8.270476776893043,0.123125,0.014887291666666667,99.99999999999999,0.0006510416666666666,6.510416666666667e-06,3.8786300505050506,0.6399739583333334,0.165,1216.6089583333332,100.0,3660.0,14885.0,18263.0,311.2486979166667,311.2486979166667,1536,1536,1536,48000,4800000,1536
5,1.0,8192,8.22393603447787,0.12085416666666667,0.014695416666666667,99.99999999999999,0.0006510416666666666,6.510416666666667e-06,3.8331004192453584,0.625,0.16305338541666667,1214.1447083333333,99.0,3639.0,14885.0,18266.0,310.296875,359.908203125,1536,1536,1536,48000,4800000,1536
6,1.0,1024,8.207688323646199,0.11885416666666666,0.014480833333333333,199.99999999999997,0.0013020833333333333,6.510416666666667e-06,3.8467801025808024,0.615234375,0.15993489583333334,1186.3450625,111.0,3512.2999999999956,14885.0,18266.0,307.275390625,696.1751302083334,1536,1536,1536,48000,4800000,1536
7,1.125,4096,8.207609412799648,0.07775,0.009472916666666666,0.0,0.0,6.510416666666667e-06,4.876316723872648,0.5364583333333334,0.11001302083333334,1540.1218958333334,184.0,4601.0,17581.0,22995.0,203.98502604166666,272.193359375,1536,1536,1536,48000,4800000,1536
8,1.125,8192,8.116093152589503,0.07783333333333334,0.00959,0.0,0.0,6.510416666666667e-06,4.805545764305017,0.5325520833333334,0.1108203125,1547.1329375,184.0,4660.0,17581.0,22995.0,204.31510416666666,235.533203125,1536,1536,1536,48000,4800000,1536
9,1.125,inf,8.069691814011588,0.0780625,0.009673541666666667,0.0,0.0,6.510416666666667e-06,4.740577012563984,0.5305989583333334,0.11192708333333333,1550.173875,191.0,4666.0999999999985,17581.0,22995.0,204.71158854166666,204.71158854166666,1536,1536,1536,48000,4800000,1536
10,1.125,1024,8.053038674033148,0.07591666666666666,0.009427083333333334,0.0,0.0,6.510416666666667e-06,4.918427548010355,0.5319010416666666,0.10814453125,1505.497875,218.0,4314.0,17581.0,22995.0,203.89453125,439.5358072916667,1536,1536,1536,48000,4800000,1536
