rank,lambda_rel,g_max,k_max,token_exact_entry_lift,needle_token_exact_entry_rate,random_token_exact_entry_rate,token_isolation_lift,needle_token_isolated_rate,random_token_isolated_rate,needle_cluster_merged_by_ward_rate,needle_token_ward_merged_rate,span_any_ward_merged_rate,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,span_all_tokens_exact_entry_lift,span_all_tokens_exact_entry_rate,random_span_all_tokens_exact_entry_rate,span_all_tokens_isolation_lift,span_all_tokens_isolated_rate,random_span_all_tokens_isolated_rate,span_any_token_exact_entry_lift,span_any_token_exact_entry_rate,random_span_any_token_exact_entry_rate,span_any_token_isolation_lift,span_any_token_isolated_rate,random_span_any_token_isolated_rate,cluster_size_mean,cluster_size_quantiles.p50,cluster_size_quantiles.p90,cluster_size_quantiles.p99,cluster_size_max,cluster_count_mean,segment_count_mean,sample_groups,sample_groups_with_needle,span_count,needle_token_count,random_token_count,layer_group_count
1,1.0,inf,15,10.616450814901048,0.486375,0.04581333333333333,311.3372093023256,0.2008125,0.000645,0.6354166666666666,0.3105625,0.6354166666666666,0.98705525665645,1046.421875,1046.421875,1060.1451822916667,20.07755277897458,0.3033854166666667,0.015110677083333333,12150.0,0.158203125,1.3020833333333334e-05,3.596199993425594,0.7122395833333334,0.19805338541666667,37.46478873239437,0.3463541666666667,0.009244791666666667,2480.943979166667,1352.0,6514.0,14885.0,18263.0,13.723307291666666,1060.1451822916667,1536,1536,1536,48000,4800000,1536
2,1.0,8192,15,10.610875465419184,0.48625,0.045825625,309.8745577356063,0.20070833333333332,0.0006477083333333334,0.634765625,0.30964583333333334,0.634765625,0.9870696378761658,1046.408203125,1046.408203125,1060.1158854166667,19.922547332185886,0.3014322916666667,0.015130208333333334,8000.0,0.15625,1.953125e-05,3.59114206860297,0.7115885416666666,0.19815104166666667,37.14085494043447,0.3450520833333333,0.009290364583333334,2480.4638125,1352.0,6509.399999999994,14885.0,18266.0,13.707682291666666,1061.0481770833333,1536,1536,1536,48000,4800000,1536
3,1.0,4096,15,10.598515071929045,0.4859375,0.04584958333333333,310.13187520102923,0.200875,0.0006477083333333334,0.6354166666666666,0.3086041666666667,0.6354166666666666,0.9870712237378474,1046.2897135416667,1046.2897135416667,1059.994140625,20.008587376556463,0.3033854166666667,0.015162760416666667,8066.666666666667,0.15755208333333334,1.953125e-05,3.583511249794712,0.7102864583333334,0.19820963541666667,37.06293706293706,0.3450520833333333,0.009309895833333333,2479.1551458333333,1350.0,6510.0,14885.0,18266.0,13.704427083333334,1061.236328125,1536,1536,1536,48000,4800000,1536
4,0.875,inf,15,10.554129414888909,0.4967916666666667,0.04707083333333333,238.14265863825847,0.21422916666666666,0.0008995833333333333,0.7584635416666666,0.40041666666666664,0.7584635416666666,0.9929378736974346,1995.5006510416667,1995.5006510416667,2009.693359375,21.093117408906885,0.3391927083333333,0.016080729166666665,5066.666666666666,0.19791666666666666,3.90625e-05,3.5214432460195173,0.7141927083333334,0.2028125,24.293286219081274,0.3580729166666667,0.014739583333333334,2341.070625,1312.0,6118.0,13732.0,17615.0,14.192708333333334,2009.693359375,1536,1536,1536,48000,4800000,1536
5,0.875,8192,15,10.547854902290434,0.4966875,0.04708895833333333,237.85350023180342,0.21377083333333333,0.00089875,0.7571614583333334,0.39979166666666666,0.7571614583333334,0.9929418716837067,1995.3567708333333,1995.3567708333333,2009.5403645833333,20.87378640776699,0.3359375,0.01609375,4983.333333333333,0.19466145833333334,3.90625e-05,3.521895466803647,0.7141927083333334,0.20278645833333334,24.121265377855888,0.357421875,0.014817708333333334,2341.5012291666667,1313.0,6118.0,13732.0,17615.0,14.18359375,2010.5625,1536,1536,1536,48000,4800000,1536
6,0.875,4096,15,10.527618862352222,0.4960833333333333,0.047122083333333335,242.10898796886056,0.2138125,0.000883125,0.7552083333333334,0.3993541666666667,0.7552083333333334,0.9929416194001948,1995.193359375,1995.193359375,2009.3763020833333,20.85691188358933,0.3359375,0.016106770833333332,5016.666666666666,0.19596354166666666,3.90625e-05,3.5180073184823777,0.7135416666666666,0.20282552083333333,24.227714033539275,0.357421875,0.014752604166666667,2340.6859375,1311.0,6118.0,13732.0,17615.0,14.182942708333334,2010.7317708333333,1536,1536,1536,48000,4800000,1536
7,1.0,inf,16,10.158982032055125,0.49083333333333334,0.04831520833333333,221.01710171017103,0.204625,0.0009258333333333333,0.6145833333333334,0.295125,0.6145833333333334,0.9858652553304595,1010.5690104166666,1010.5690104166666,1025.0579427083333,19.466444351813255,0.3040364583333333,0.015618489583333334,12150.0,0.158203125,1.3020833333333334e-05,3.4986328610489683,0.7330729166666666,0.20953125,26.137963397465978,0.3626302083333333,0.013873697916666667,2336.44725,1253.0,6265.0,14885.0,18263.0,14.488932291666666,1025.0579427083333,1536,1536,1536,48000,4800000,1536
8,1.0,4096,16,10.156546162594342,0.4911875,0.048361666666666664,221.99058507061198,0.2063125,0.000929375,0.6126302083333334,0.29275,0.6126302083333334,0.9858818611931273,1010.4108072916666,1010.4108072916666,1024.8802083333333,19.493985897967647,0.3059895833333333,0.015696614583333334,8166.666666666667,0.15950520833333334,1.953125e-05,3.497328860728041,0.7330729166666666,0.209609375,25.92246613731901,0.361328125,0.013938802083333333,2332.4731875,1250.0,6265.0,14885.0,18266.0,14.469401041666666,1026.2779947916667,1536,1536,1536,48000,4800000,1536
9,1.0,8192,16,10.153395380903138,0.49091666666666667,0.04835,220.59681400044872,0.20483333333333334,0.0009285416666666667,0.6145833333333334,0.2940625,0.6145833333333334,0.985879815186281,1010.4895833333334,1010.4895833333334,1024.9622395833333,19.318653926049024,0.302734375,0.015670572916666667,8033.333333333333,0.15690104166666666,1.953125e-05,3.4950913383869766,0.732421875,0.20955729166666667,26.066572902015942,0.3619791666666667,0.01388671875,2335.357375,1253.0,6265.0,14885.0,18266.0,14.47265625,1025.9661458333333,1536,1536,1536,48000,4800000,1536
10,0.875,inf,16,10.000833680700293,0.49983333333333335,0.049979166666666665,241.56843877796487,0.20920833333333333,0.0008660416666666667,0.7350260416666666,0.389625,0.7350260416666666,0.9922732581746362,1933.08203125,1933.08203125,1948.134765625,19.938176197836167,0.3359375,0.016848958333333334,5016.666666666666,0.19596354166666666,3.90625e-05,3.382259093809828,0.724609375,0.21423828125,24.75972540045767,0.3522135416666667,0.014225260416666666,2209.8203541666667,1181.0,5560.0,13732.0,17615.0,15.052734375,1948.134765625,1536,1536,1536,48000,4800000,1536
11,0.875,8192,16,9.991372735343028,0.4994375,0.049986875,241.39927623642944,0.20845833333333333,0.0008635416666666666,0.7337239583333334,0.3889375,0.7337239583333334,0.9922786374522177,1933.0169270833333,1933.0169270833333,1948.05859375,19.644924739482825,0.3313802083333333,0.016868489583333333,4900.0,0.19140625,3.90625e-05,3.3834929320565434,0.724609375,0.21416015625,24.646280237334548,0.3515625,0.014264322916666667,2210.6628125,1181.0,5560.0,13732.0,17615.0,15.041666666666666,1949.15625,1536,1536,1536,48000,4800000,1536
12,0.875,4096,16,9.969169235897008,0.4985,0.05000416666666667,243.48780487804876,0.20797916666666666,0.0008541666666666667,0.732421875,0.38885416666666667,0.732421875,0.9922787355735985,1932.8743489583333,1932.8743489583333,1947.9147135416667,19.667697063369395,0.3313802083333333,0.016848958333333334,4900.0,0.19140625,3.90625e-05,3.378768100543396,0.724609375,0.21445963541666666,24.747474747474747,0.3509114583333333,0.0141796875,2210.7355,1180.0,5556.0,13732.0,17615.0,15.040364583333334,1949.404296875,1536,1536,1536,48000,4800000,1536
13,1.0,inf,32,6.788411046589624,0.5903541666666666,0.086965,68.77837391663228,0.27775,0.004038333333333333,0.4388020833333333,0.20245833333333332,0.4388020833333333,0.9640170214033074,674.46484375,674.46484375,699.6399739583334,14.037192561487702,0.3046875,0.021705729166666667,8133.333333333333,0.15885416666666666,1.953125e-05,2.4740349744621866,0.8483072916666666,0.34288411458333334,8.773424190800682,0.5364583333333334,0.06114583333333334,1653.1144791666666,540.0,4639.0999999999985,14885.0,18263.0,25.175130208333332,699.6399739583334,1536,1536,1536,48000,4800000,1536
14,1.0,8192,32,6.785097458672588,0.5901041666666667,0.086970625,68.17482302246844,0.276875,0.00406125,0.4388020833333333,0.20247916666666665,0.4388020833333333,0.9640614908115573,674.4049479166666,674.4049479166666,699.5455729166666,13.952095808383236,0.3033854166666667,0.021744791666666666,6024.999999999999,0.15690104166666666,2.604166666666667e-05,2.4715731126255243,0.84765625,0.34296223958333333,8.738996712270655,0.5364583333333334,0.06138671875,1653.1087083333334,537.0,4639.0,14885.0,18266.0,25.140625,700.9537760416666,1536,1536,1536,48000,4800000,1536
