rank,scheme,g_max,l_block,E_M,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
1,semantic,inf,0,2.0472252467854566,0.4667165719600304,0.01934160929448282,0.5139418187454868,0.3175915844048479,4512.442708333333,6612.525,6612.525,2204.175,2204.175,0.0,29.971784702549577,22.097250561109973,29.971784702549574,1.9189915356711003,960,
2,semantic,inf,1,2.0472252467854566,0.4667165719600304,0.01934160929448282,0.5139418187454868,0.3175915844048479,4512.442708333333,6612.525,6612.525,2204.175,2204.175,0.0,29.971784702549577,22.097250561109973,29.971784702549574,1.9189915356711003,960,
3,semantic,inf,2,2.0472252467854566,0.4667165719600304,0.01934160929448282,0.5139418187454868,0.3175915844048479,4512.442708333333,6612.525,6612.525,2204.175,2204.175,0.0,29.971784702549577,22.097250561109973,29.971784702549574,1.9189915356711003,960,
4,semantic,inf,3,2.0472252467854566,0.4667165719600304,0.01934160929448282,0.5139418187454868,0.3175915844048479,4512.442708333333,6612.525,6612.525,2204.175,2204.175,0.0,29.971784702549577,22.097250561109973,29.971784702549574,1.9189915356711003,960,
5,semantic,256,1,2.050198765925351,0.46297489990188045,0.023851434270888063,0.5131736658272315,0.3560056645259958,4479.346875,6955.56875,6955.56875,2318.522916666667,2184.835416666667,790.9479166666666,31.526657223796033,21.935181595592734,31.526657223796036,2.0185447400241836,960,
6,semantic,8192,1,2.051647437656538,0.4642540931173308,0.01984437610880022,0.515901530773869,0.3226048845275944,4540.297916666666,6702.584375,6702.584375,2234.194791666667,2213.001041666667,28.003125,30.37998583569405,22.233656396653743,30.379985835694054,1.9451272672309552,960,
7,semantic,8192,2,2.0551886667849097,0.4622760773007385,0.02025917861361329,0.5174647440856482,0.3361991854032601,4538.3875,6836.971875,6836.971875,2278.990625,2208.258333333333,91.040625,30.98910764872521,22.224301163027953,30.989107648725213,1.9841272672309551,960,
8,semantic,256,2,2.060873349972457,0.4568600438550045,0.025406562317533937,0.5177333938274615,0.4165386288984131,4419.289583333333,7574.2625,7574.2625,2524.7541666666666,2144.3770833333333,2578.1375,34.33093484419263,21.64108345235666,34.33093484419263,2.198093107617896,960,
9,semantic,4096,1,2.0637225709350657,0.4584158168801706,0.019445795304593203,0.5221383878152362,0.32406178564682575,4566.332291666667,6755.546875,6755.546875,2251.8489583333335,2212.6677083333334,60.52395833333333,30.620042492917847,22.36114568455417,30.620042492917847,1.9604972793228537,960,
10,semantic,8192,3,2.0653308129978747,0.4568798803441339,0.02090942631385764,0.5222106933420084,0.3603727327828522,4536.658333333334,7092.659375,7092.659375,2364.219791666667,2196.577083333333,238.403125,32.148031161473085,22.21583350336666,32.148031161473085,2.0583292019347037,960,
11,semantic,2048,1,2.071718742210772,0.454302569586904,0.01967611861541978,0.5260213117976762,0.3276500920725989,4588.714583333333,6824.890625,6824.890625,2274.9635416666665,2214.93125,119.73854166666666,30.934348441926343,22.470750867169965,30.934348441926346,1.9806212212817411,960,
12,semantic,4096,2,2.071910275873246,0.4539304861978329,0.020228751731088436,0.5258407620710787,0.3482639837926539,4567.791666666667,7008.653125,7008.653125,2336.217708333333,2204.628125,200.434375,31.767266288951838,22.368292185268313,31.76726628895184,2.033950120918984,960,
13,semantic,1024,1,2.075863404673646,0.45185475973549977,0.020427075855354502,0.5277181644091458,0.3328681066323339,4566.371875,6844.78125,6844.78125,2281.59375,2199.7458333333334,222.05208333333334,31.024504249291784,22.361339522546416,31.024504249291784,1.986393591293833,960,
14,semantic,256,3,2.0821429343462805,0.44604784184832036,0.025761381957078774,0.5281907761946009,0.47415660750769006,4314.328125,8204.5875,8204.5875,2734.8625,2072.061458333333,6574.679166666667,37.18793201133145,21.127091409916343,37.18793201133144,2.381016928657799,960,
15,semantic,2048,2,2.085064439011474,0.44700722612528804,0.02092110873794992,0.5320716651367621,0.3597465889927276,4568.934375,7136.134375,7136.134375,2378.711458333333,2191.2677083333333,389.4114583333333,32.34508498583569,22.37388798204448,32.34508498583569,2.0709458887545344,960,
16,semantic,1024,2,2.0867928221953633,0.4460381153536675,0.021130947097301678,0.5328309375490309,0.3759942207645005,4530.398958333333,7260.1875,7260.1875,2420.0625,2170.9864583333333,719.2958333333333,32.90736543909348,22.185181595592734,32.90736543909348,2.1069467956469166,960,
17,semantic,4096,3,2.0894602684794514,0.4448620131696962,0.02081570518115635,0.5343222816491474,0.3802187356671066,4545.183333333333,7333.528125,7333.528125,2444.509375,2175.290625,513.959375,33.23978753541076,22.257580085696794,33.23978753541076,2.128230652962515,960,
18,semantic,2048,3,2.100011766830805,0.43961122003634645,0.020765793096502054,0.5396229868671515,0.4012402669241306,4517.490625,7544.746875,7544.746875,2514.915625,2151.1739583333333,989.3322916666667,34.19715297450425,22.1219700061212,34.19715297450425,2.1895275090689235,960,
19,semantic,1024,3,2.1095272547461925,0.43407043971755555,0.022331865818696357,0.5435976944637481,0.4218028134334645,4461.6875,7716.55,7716.55,2572.1833333333334,2115.0177083333333,1832.5083333333334,34.97586402266289,21.848704346051825,34.97586402266289,2.239385731559855,960,
