rank,scheme,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
1,semantic,0.875,4096,1,unclipped,1.6955653152516301,0.0,0.0,0.0,514.2799479166666,0.6419717803276649,0.02049112409304009,0.337537095579295,0.4394311357066465,24399.5546875,43526.41796875,43526.41796875,14508.805989583334,14390.218098958334,121.32682291666667,14.23071411786342,9.117636354435898,14.23071411786342,12.631608600362757,1536,
2,semantic,0.875,8192,1,unclipped,1.703477807147113,0.0,0.0,0.0,516.705078125,0.6379631203239868,0.02059595220491332,0.3414409274710999,0.43432836236184336,24353.757161458332,43052.81640625,43052.81640625,14350.938802083334,14296.4921875,55.13671875,14.075872788017493,9.100522714710552,14.075872788017492,12.494166792623941,1536,
3,semantic,0.875,inf,0,unclipped,1.7080549024901255,0.0,0.0,0.0,518.51171875,0.6355791630375593,0.020786771434755873,0.34363406552768483,0.4306483658366248,24335.777994791668,42742.966796875,42742.966796875,14247.655598958334,14247.655598958334,0.0,13.974569225346357,9.093804251782768,13.974569225346357,12.404246712515114,1536,
4,semantic,0.875,inf,1,unclipped,1.7080549024901255,0.0,0.0,0.0,518.51171875,0.6355791630375593,0.020786771434755873,0.34363406552768483,0.4306483658366248,24335.777994791668,42742.966796875,42742.966796875,14247.655598958334,14247.655598958334,0.0,13.974569225346357,9.093804251782768,13.974569225346357,12.404246712515114,1536,
5,semantic,0.875,4096,1,128,1.8798914912605575,0.8907710079038982,656.1705729166666,656.1705729166666,736.6321614583334,0.5445404125660481,0.0310276836073462,0.4244319038266056,0.3739683770561226,24074.244140625,38455.31640625,38455.31640625,12818.438802083334,12806.188151041666,13.371744791666666,12.572746383178718,8.996074165836266,12.572746383178716,11.15994672007255,1536,
6,semantic,0.875,8192,1,128,1.8834310884108467,0.8912592790744333,659.4088541666666,659.4088541666666,739.8619791666666,0.5427954560600171,0.030977999469119156,0.4262265444708638,0.37236337916176243,24030.444661458332,38287.193359375,38287.193359375,12762.397786458334,12758.865885416666,3.716796875,12.517779511831298,8.979707157148194,12.517779511831296,11.111156476723096,1536,
7,semantic,0.875,inf,0,128,1.8845992599534545,0.8912971066524757,660.2428385416666,660.2428385416666,740.7662760416666,0.5422115831933308,0.030977573659883826,0.4268108431467853,0.3718002466821818,24021.55859375,38238.7265625,38238.7265625,12746.2421875,12746.2421875,0.0,12.501933569005681,8.976386607448696,12.501933569005681,11.0970911426844,1536,
8,semantic,0.875,inf,1,128,1.8845992599534545,0.8912971066524757,660.2428385416666,660.2428385416666,740.7662760416666,0.5422115831933308,0.030977573659883826,0.4268108431467853,0.3718002466821818,24021.55859375,38238.7265625,38238.7265625,12746.2421875,12746.2421875,0.0,12.501933569005681,8.976386607448696,12.501933569005681,11.0970911426844,1536,
9,semantic,0.875,4096,1,64,2.0990661070201826,0.9537052934261071,947.5,947.5,993.4934895833334,0.4292596484451963,0.04241459608942462,0.5283257554653791,0.30056240686905655,22389.595703125,32010.85546875,32010.85546875,10670.28515625,10666.455729166666,4.405598958333333,10.465766633291103,8.366553994877464,10.465766633291103,9.289728310157194,1536,
10,semantic,0.875,8192,1,64,2.100494186590445,0.9537939320096427,949.9837239583334,949.9837239583334,996.0052083333334,0.42858772016826485,0.042330373073025125,0.52908190675871,0.29993060433574226,22363.893229166668,31945.251953125,31945.251953125,10648.417317708334,10646.967447916666,1.50390625,10.444317938003188,8.35694948307539,10.444317938003188,9.270689805018137,1536,
