rank,scheme,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
1,semantic,1.0,4096,1,unclipped,1.8516892197004462,0.0,0.0,0.0,309.3483072916667,0.5593129233840562,0.02968493353144136,0.4110021430845024,0.3862091844690194,22398.401692708332,36491.9140625,36491.9140625,12163.971354166666,12096.19921875,70.33072916666667,11.930823184437452,8.369844620947902,11.930823184437452,10.590156438935912,1536,
2,semantic,1.0,8192,1,unclipped,1.858805725094859,0.0,0.0,0.0,310.296875,0.5556732787265876,0.02984771745196593,0.41447900382144653,0.3820358746534799,22338.950520833332,36149.267578125,36149.267578125,12049.755859375,12017.904947916666,32.516276041666664,11.81879687053006,8.347628880827079,11.818796870530058,10.490718523276904,1536,
3,semantic,1.0,inf,0,unclipped,1.863803100675212,0.0,0.0,0.0,311.2486979166667,0.553154533188639,0.02988783294750976,0.41695763386385115,0.3787322997749293,22315.841145833332,35919.84765625,35919.84765625,11973.282552083334,11973.282552083334,0.0,11.743789335485717,8.338993359387164,11.743789335485717,10.424139585852478,1536,
4,semantic,1.0,inf,1,unclipped,1.863803100675212,0.0,0.0,0.0,311.2486979166667,0.553154533188639,0.02988783294750976,0.41695763386385115,0.3787322997749293,22315.841145833332,35919.84765625,35919.84765625,11973.282552083334,11973.282552083334,0.0,11.743789335485717,8.338993359387164,11.743789335485717,10.424139585852478,1536,
5,semantic,1.0,4096,1,128,1.9311460198424393,0.8081519487555372,313.685546875,313.685546875,388.1516927083333,0.5174501823707689,0.03395361541602285,0.4485962022132083,0.3570589029797775,22139.947916666668,34435.421875,34435.421875,11478.473958333334,11464.66796875,15.280598958333334,11.258464792186032,8.27326549995329,11.25846479218603,9.993350967351875,1536,
6,semantic,1.0,8192,1,128,1.9358249120717088,0.8091391256617265,315.7428385416667,315.7428385416667,390.220703125,0.5151303177911822,0.03391445234592675,0.45095522986289105,0.35497377666791496,22092.275390625,34250.197265625,34250.197265625,11416.732421875,11412.331380208334,4.709635416666667,11.19790666251175,8.255451209401176,11.19790666251175,9.939597755441353,1536,
7,semantic,1.0,inf,0,128,1.9378894519106635,0.8093144186774731,316.3391927083333,316.3391927083333,390.873046875,0.5140768077705309,0.0339569325482747,0.4519662596811944,0.3540368493631122,22080.330078125,34182.02734375,34182.02734375,11394.009114583334,11394.009114583334,0.0,11.175618895336958,8.250987479758976,11.175618895336957,9.919814464933495,1536,
8,semantic,1.0,inf,1,128,1.9378894519106635,0.8093144186774731,316.3391927083333,316.3391927083333,390.873046875,0.5140768077705309,0.0339569325482747,0.4519662596811944,0.3540368493631122,22080.330078125,34182.02734375,34182.02734375,11394.009114583334,11394.009114583334,0.0,11.175618895336958,8.250987479758976,11.175618895336957,9.919814464933495,1536,
9,semantic,1.0,4096,1,64,2.0996589430580683,0.9147558127556589,456.7174479166667,456.7174479166667,499.2779947916667,0.42865122364822417,0.04303860964548343,0.5283101667062924,0.3004006373893896,20836.129557291668,29782.9453125,29782.9453125,9927.6484375,9923.578125,4.706380208333333,9.737364113776616,7.786054080512565,9.737364113776616,8.64317639056832,1536,
10,semantic,1.0,8192,1,64,2.1010686390425186,0.9149224569226807,457.8984375,457.8984375,500.4778645833333,0.42800951286220323,0.04291233523307472,0.5290781519047221,0.29974869409330884,20808.576171875,29715.869140625,29715.869140625,9905.289713541666,9903.805989583334,1.5690104166666667,9.71543394192652,7.775757919300594,9.71543394192652,8.623710512394196,1536,
