rank,scheme,g_max,l_block,E_M,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
1,semantic,256,1,1.9266837460498307,0.5264749613016299,0.020366331346909565,0.4531587073514605,0.4090823645699231,6323.8828125,10701.80078125,10701.80078125,3567.2669270833335,3282.2630208333335,1371.85546875,48.50674575070821,30.967799938788,48.50674575070821,3.10572211305925,1536,
2,semantic,inf,0,1.934631256181998,0.5247018793273986,0.01596498516320475,0.45933313550939664,0.35512291460600065,6366.901692708333,9873.046875,9873.046875,3291.015625,3291.015625,0.0,44.750354107648725,31.178461665986532,44.750354107648725,2.8652131197097943,1536,
3,semantic,inf,1,1.934631256181998,0.5247018793273986,0.01596498516320475,0.45933313550939664,0.35512291460600065,6366.901692708333,9873.046875,9873.046875,3291.015625,3291.015625,0.0,44.750354107648725,31.178461665986532,44.750354107648725,2.8652131197097943,1536,
4,semantic,inf,2,1.934631256181998,0.5247018793273986,0.01596498516320475,0.45933313550939664,0.35512291460600065,6366.901692708333,9873.046875,9873.046875,3291.015625,3291.015625,0.0,44.750354107648725,31.178461665986532,44.750354107648725,2.8652131197097943,1536,
5,semantic,inf,3,1.934631256181998,0.5247018793273986,0.01596498516320475,0.45933313550939664,0.35512291460600065,6366.901692708333,9873.046875,9873.046875,3291.015625,3291.015625,0.0,44.750354107648725,31.178461665986532,44.750354107648725,2.8652131197097943,1536,
6,semantic,8192,1,1.9396276673969821,0.5219597038757783,0.016452924851461166,0.4615873712727605,0.3619569233486515,6397.042317708333,10026.03515625,10026.03515625,3342.01171875,3298.0774739583335,55.13671875,45.44378541076487,31.326059095082634,45.443785410764875,2.9096111698911726,1536,
7,semantic,256,2,1.9408774796995318,0.518503687518405,0.022115145263657973,0.459381167217937,0.4800183789396052,6213.244140625,11948.96875,11948.96875,3982.9895833333335,3201.2552083333335,4497.4375,54.159631728045326,30.426006809834725,54.159631728045326,3.4676571946795645,1536,
8,semantic,8192,2,1.9442529925137195,0.5194923481007674,0.016762311284745788,0.4637453406144868,0.3799830359899008,6397.020182291667,10317.4921875,10317.4921875,3439.1640625,3290.2200520833335,182.1171875,46.76483711048159,31.325950698836973,46.76483711048159,2.994193621523579,1536,
9,semantic,4096,1,1.9522088837378002,0.5155176548841418,0.016755806493916163,0.46772653862194197,0.3650944081322286,6454.666015625,10166.33984375,10166.33984375,3388.7799479166665,3306.33984375,121.32682291666667,46.07972733711048,31.6082400275454,46.079727337110484,2.9503283706166865,1536,
10,semantic,1024,1,1.957256171347161,0.5126289444238858,0.017485939805067265,0.4698851157710469,0.38062002685416074,6401.322265625,10335.048828125,10335.048828125,3445.0162760416665,3270.5592447916665,429.990234375,46.844413951841354,31.347017827994286,46.84441395184136,2.999288656287787,1536,
11,semantic,2048,1,1.9579509762141516,0.5126850624240415,0.016678898937765363,0.4706360386381931,0.3717154473922688,6460.932291666667,10283.44921875,10283.44921875,3427.81640625,3299.84375,237.00911458333334,46.61053470254957,31.63892572944297,46.61053470254957,2.984314162636034,1536,
12,semantic,8192,3,1.9583792452754916,0.5119809224410659,0.017658909842376756,0.4703601677165574,0.40926389234866345,6391.787760416667,10820.0390625,10820.0390625,3606.6796875,3263.8151041666665,469.2109375,49.04266997167139,31.30032773923689,49.04266997167139,3.140035519951632,1536,
13,semantic,256,3,1.9657887753102368,0.5056686803821672,0.022873863925428898,0.47145745569240394,0.5413106328966908,6047.439453125,13184.171875,13184.171875,4394.723958333333,3076.3424479166665,11493.755208333334,59.75828611898016,29.614067919812282,59.75828611898017,3.826120012091898,1536,
14,semantic,4096,2,1.9658111889499692,0.5083301911131398,0.017528428823751215,0.474141380063109,0.39576502882239917,6448.91015625,10672.8515625,10672.8515625,3557.6171875,3280.5338541666665,400.8359375,48.375531161473084,31.580053815547846,48.375531161473084,3.0973208887545343,1536,
15,semantic,1024,2,1.9714354413772905,0.5051047680190933,0.018355022584522707,0.4765402093963839,0.43418922218216016,6341.416015625,11207.662109375,11207.662109375,3735.8873697916665,3216.6490885416665,1402.9342447916667,50.79960162889518,31.053659329728625,50.79960162889518,3.2525258842200726,1536,
16,semantic,2048,2,1.9736351669599643,0.5043249592013247,0.01771491463738617,0.4779601261612891,0.41390464964149476,6432.67578125,10975.4765625,10975.4765625,3658.4921875,3259.3033854166665,778.1015625,49.747202549575064,31.50055473372781,49.74720254957507,3.1851443470374847,1536,
17,semantic,4096,3,1.9888704839685054,0.4964830421917631,0.01816343164796848,0.48535352616026844,0.4352608005101565,6402.104166666667,11336.390625,11336.390625,3778.796875,3218.96484375,1024.6666666666667,51.383073654390934,31.35084676596613,51.383073654390934,3.28988361547763,1536,
18,semantic,2048,3,1.9944165703529153,0.49389548169075076,0.017792466265583198,0.48831205204366607,0.4642107494217075,6332.907552083333,11819.7734375,11819.7734375,3939.9244791666665,3175.318359375,1978.6640625,53.57404390934844,31.01199372577025,53.57404390934844,3.43016399637243,1536,
19,semantic,1024,3,1.9957647973250119,0.49263932735410065,0.018956547966786873,0.4884041246791125,0.48894674550635064,6211.923177083333,12155.138671875,12155.138671875,4051.712890625,3112.552734375,3572.634765625,55.09411296033994,30.419538104468472,55.09411296033994,3.5274888527811363,1536,
