g_max,l_block,score,key_ratio_median,key_ratio_mean,key_ratio_p90,key_ratio_max,key_wins,key_valid,value_ratio_median,value_ratio_mean,value_ratio_p90,value_ratio_max,value_wins,value_valid,span_p99_ratio_median,span_p99_ratio_p90,entry_count_ratio_median,entry_count_ratio_p90,layer_group_count
256,2,0.5588616409262446,0.4368851170875512,0.3961264642772122,0.531017456549229,0.5493285078698412,40,40,0.7148935074302039,0.6968398211452073,0.8645279590479608,0.9347907090032573,40,40,2.6606497313141175,2.980850024425989,35.389518413597735,62.36498583569404,40
256,1,0.5589073361610012,0.4371939980569828,0.3959754322161139,0.5310255435221063,0.5494101307082924,40,40,0.7145052580842426,0.6964721122268506,0.8640990592577862,0.9346166592149923,40,40,2.9578700537371736,3.384624328285306,34.10339943342776,54.321019830028334,40
256,3,0.5595936243888652,0.43752277392228617,0.3968769044652253,0.5310386722540069,0.5508754811961498,40,40,0.7157227991800215,0.6984984052486249,0.8644186932065138,0.9350944381225603,40,40,2.2669760625305324,2.5746458231558376,36.866005665722376,70.05019830028328,40
1024,1,0.561229154362321,0.4394074169869173,0.39982526859426415,0.5321438434191844,0.560432715957276,40,40,0.7168248680600309,0.7004229419573419,0.8620382311738656,0.9352105239693368,40,40,2.9794821690278455,3.5483097215437223,32.32606232294617,53.31932011331445,40
1024,2,0.5614357669639625,0.43956804275744465,0.4000814211528663,0.5320113025569545,0.5596992227573286,40,40,0.717090620257731,0.7009403076525638,0.8618347904070767,0.9353557374956314,40,40,2.6011553492916404,3.1458720078163167,33.93116147308781,58.76396600566572,40
1024,3,0.5622387306632843,0.43980818185002113,0.40080132317371797,0.5323559540649083,0.5602370657382103,40,40,0.7187505901508184,0.7020834465329413,0.8625118536525676,0.9353066184512753,40,40,2.3212017586712266,2.6925256472887154,35.31586402266289,65.03342776203965,40
8192,1,0.5641249038933756,0.4419908287921751,0.402220984823328,0.5314979194411954,0.5644217236121883,40,40,0.7200079423872974,0.7024499019417199,0.8624858437494537,0.9352036092310142,40,40,3.024291646311675,3.597884709330728,32.22889518413598,51.26589235127478,40
8192,2,0.5641833209764294,0.4420517087601272,0.40226839048811797,0.5314787516413484,0.5642002042154197,40,40,0.7200578877090488,0.7025321963579709,0.8624578281465742,0.9352298749328902,40,40,2.9312921348314607,3.453392281387393,32.271954674220964,53.34668555240793,40
8192,3,0.5642758299269363,0.44215991524619946,0.40242881740681424,0.5314754217942346,0.5642400274210018,40,40,0.7201177702018513,0.7027698476775377,0.8624416996945541,0.9352196479316652,40,40,2.854208597948216,3.408597948216903,32.843909348441926,56.79031161473088,40
4096,1,0.5643220959969814,0.44175846088486154,0.4014854573560617,0.5314345983143464,0.5651229409125268,40,40,0.7208903874586534,0.7017566816929164,0.8622570630022731,0.9349557757856234,40,40,3.0062921348314626,3.5911577918905717,31.955240793201128,51.59773371104816,40
4096,2,0.5643308398320724,0.44172220231885473,0.40154145078209486,0.5313874010219631,0.5650672925679587,40,40,0.720971902960148,0.7018365914810938,0.8621840760662843,0.9348866132742676,40,40,2.7376648754274546,3.2986707376648807,32.21869688385269,55.512974504249286,40
4096,3,0.5647142267207544,0.4420687936515616,0.40193338312196386,0.531390656332374,0.5654339003713366,40,40,0.7213858169599234,0.7024440668044272,0.8622533436560006,0.9351374952638328,40,40,2.571323888617489,3.100820713238898,33.26232294617564,60.004419263456086,40
inf,0,0.5650834822057579,0.44299420205121753,0.40275548982567566,0.5330135565837998,0.5663149448622823,40,40,0.7208205894867816,0.7031010254303348,0.8639409243527879,0.9351886731969453,40,40,3.237420615534929,3.8967757694186616,31.932577903682716,50.36203966005666,40
inf,1,0.5650834822057579,0.44299420205121753,0.40275548982567566,0.5330135565837998,0.5663149448622823,40,40,0.7208205894867816,0.7031010254303348,0.8639409243527879,0.9351886731969453,40,40,3.237420615534929,3.8967757694186616,31.932577903682716,50.36203966005666,40
inf,2,0.5650834822057579,0.44299420205121753,0.40275548982567566,0.5330135565837998,0.5663149448622823,40,40,0.7208205894867816,0.7031010254303348,0.8639409243527879,0.9351886731969453,40,40,3.237420615534929,3.8967757694186616,31.932577903682716,50.36203966005666,40
inf,3,0.5650834822057579,0.44299420205121753,0.40275548982567566,0.5330135565837998,0.5663149448622823,40,40,0.7208205894867816,0.7031010254303348,0.8639409243527879,0.9351886731969453,40,40,3.237420615534929,3.8967757694186616,31.932577903682716,50.36203966005666,40
