g_max,l_block,score,key_ratio_median,key_ratio_mean,key_ratio_p90,key_ratio_max,key_wins,key_valid,value_ratio_median,value_ratio_mean,value_ratio_p90,value_ratio_max,value_wins,value_valid,span_p99_ratio_median,span_p99_ratio_p90,entry_count_ratio_median,entry_count_ratio_p90,layer_group_count
256,2,0.5604422722672631,0.43941942284670465,0.397570691297303,0.5278120064254834,0.5513857809934569,40,40,0.7147966708191414,0.6978899939883135,0.8625805638312066,0.9359099175487318,40,40,2.615109916951637,2.976180263800684,35.77334465195246,62.13372948500283,40
256,1,0.5606808975596448,0.4398850680198062,0.39742507857771525,0.5279416727782783,0.5521437966319455,40,40,0.7146481927732413,0.6975972828359644,0.8626302270729533,0.9360914920830465,40,40,2.8821690278456256,3.4749999999999996,34.09139784946237,54.23571024335032,40
256,3,0.562012218673124,0.4405732463418208,0.3984710831516535,0.5280469680749849,0.5531043732294539,40,40,0.7169244536760355,0.6998225089278021,0.8629450225605042,0.9365725647017551,40,40,2.316316560820713,2.585881778212018,36.684493491794,69.57934352009056,40
1024,1,0.5639565105279576,0.44299033791797837,0.4012994221253166,0.531722058579129,0.5613273337663174,40,40,0.717954588494339,0.7017963506825451,0.8602229407163717,0.9367722205330374,40,40,2.9458524670249018,3.5316819736199343,32.272778720996044,53.29762308998303,40
1024,2,0.5643082195106751,0.4433056677921251,0.4015896844855459,0.5318601697983042,0.5618555032524228,40,40,0.7183390372455896,0.7023602064579118,0.8604625372937871,0.9370121082858668,40,40,2.6636345872007814,3.1161343429408888,34.003395585738545,58.820713073005095,40
1024,3,0.5651876427261047,0.4438261115672459,0.4022608591397919,0.5318694359794744,0.5620481838625537,40,40,0.7197347410730062,0.70340208439018,0.8605601569562497,0.9367717255230302,40,40,2.3146067415730336,2.7300200293111883,35.372948500282966,65.2683078664403,40
8192,1,0.5667003599322379,0.44544784637275847,0.403816451062205,0.5361252109698368,0.5678247662201831,40,40,0.720958245869674,0.7039172350264381,0.8624070618263536,0.9366850161264426,40,40,3.042989741084514,3.6901954079140187,32.398698358800225,51.23186191284664,40
8192,2,0.5667507616916101,0.44551179442581423,0.4038392249589151,0.5360299377798486,0.5677925991150323,40,40,0.7209829905670586,0.7039627455503588,0.8623780385203912,0.9367141947935536,40,40,2.9440644846116264,3.5412447484123106,32.47453310696095,53.32365591397849,40
8192,3,0.566813709485225,0.44558684530959225,0.4039643790542776,0.5361326180807356,0.5675690456512228,40,40,0.7210216922745516,0.7041512253057864,0.8623716372699308,0.9366840275905052,40,40,2.8838886174890224,3.424816805080606,32.96830786644029,56.8933220147142,40
4096,2,0.5668955516073403,0.44529981781014405,0.4031740080031964,0.5345932308983149,0.566448000255361,40,40,0.7216948078097096,0.7033051075641075,0.8616148220266604,0.9363153709212823,40,40,2.7101905227161818,3.289788470933079,32.28183361629881,55.386757215619696,40
4096,1,0.566935791790347,0.44530746753639194,0.40310963290368534,0.534540234237099,0.5668740034059091,40,40,0.7217848687585293,0.703185746801711,0.8615461810486659,0.9363827424121616,40,40,2.9576819736199296,3.6030478749389374,32.01471420486701,51.562139219015286,40
4096,3,0.5672089951383478,0.4455722847463256,0.40359691311917956,0.5348383559580607,0.5670896662458401,40,40,0.7220512926404752,0.70394717884802,0.861671996236514,0.936541828151904,40,40,2.569242794333167,3.1004816805080515,33.18986983588002,59.73837011884551,40
inf,0,0.5675250181017663,0.4461798434298404,0.4044441748946803,0.5368019826752553,0.5693939506343033,40,40,0.7218717988143639,0.7046153423155046,0.8632402156522386,0.9366357605092762,40,40,3.2280898876404467,3.856224719101121,32.001697792869265,50.29620826259197,40
inf,1,0.5675250181017663,0.4461798434298404,0.4044441748946803,0.5368019826752553,0.5693939506343033,40,40,0.7218717988143639,0.7046153423155046,0.8632402156522386,0.9366357605092762,40,40,3.2280898876404467,3.856224719101121,32.001697792869265,50.29620826259197,40
inf,2,0.5675250181017663,0.4461798434298404,0.4044441748946803,0.5368019826752553,0.5693939506343033,40,40,0.7218717988143639,0.7046153423155046,0.8632402156522386,0.9366357605092762,40,40,3.2280898876404467,3.856224719101121,32.001697792869265,50.29620826259197,40
inf,3,0.5675250181017663,0.4461798434298404,0.4044441748946803,0.5368019826752553,0.5693939506343033,40,40,0.7218717988143639,0.7046153423155046,0.8632402156522386,0.9366357605092762,40,40,3.2280898876404467,3.856224719101121,32.001697792869265,50.29620826259197,40
